"Character name	title	descriptions	attributes	agent_verbs	patient_verbs	tsne_1_weighted_descriptions_embeddings	tsne_2_weighted_descriptions_embeddings	tsne_3_weighted_descriptions_embeddings	labels"
"Irfan Khan		['affiliate', 'stop', 'list', 'stop', 'devise', 'kidnap', 'take', 'hide', 'assistant']	['assistant']	['affiliate', 'stop', 'list', 'stop', 'devise']	['kidnap', 'take', 'hide']	-22.538681	12.2688	-21.543526	27"
"Neal Lyman	['boss']	['want', 'tranquilize', 'cut', 'company', 'bos', 'boss']	['company', 'bos']	['want', 'tranquilize']	['cut']	6.05501	36.36297	-12.55682	22"
"Emerson Thorne	['student']	['forgive', 'arrive', 'beat', 'couple', 'student']	['couple']	['forgive', 'arrive']	['beat']	-8.141856	-5.226237	30.518269	13"
"Barb		['get', 'flee', 'use', 'leave', 'throw', 'set', 'lock', 'escape', 'rescue', 'hear', 'reborn']	['reborn']	['get', 'flee', 'use', 'leave', 'throw', 'set', 'lock', 'escape']	['rescue', 'hear']	23.421606	-0.47392267	-17.424189	53"
"Jai		['flee', 'shoot', 'flee', 'claim', 'crook', 'let', 'shoot', 'assign', 'arrest', 'task', 'friend', 'task', 'friendship', 'returning', 'friendship']	['task', 'friend', 'task', 'friendship', 'returning', 'friendship']	['flee', 'shoot', 'flee', 'claim', 'crook', 'let']	['shoot', 'assign', 'arrest']	0.24759631	5.498926	-7.308026	5"
"John Wayne Gacy	['businessman']	['begin', 'unfold', 'send', 'view', 'arrest', 'take', 'unfold', 'property', 'responsible', 'head', 'relationship', 'suspicious', 'businessman']	['property', 'responsible', 'head', 'relationship', 'suspicious']	['begin', 'unfold', 'send']	['view', 'arrest', 'take', 'unfold']	-8.264435	27.501205	-22.56082	49"
"Logan		['work', 'tell', 'admit', 'tell', 'tell', 'boy']	['boy']	['work', 'tell', 'admit', 'tell']	['tell']	-7.9583173	-24.268244	-8.990228	44"
"Iris	['director']	['hack', 'run', 'discover', 'tackle', 'director']		['hack', 'run']	['discover', 'tackle']	-5.96414	-31.052666	-21.495544	40"
"Jhanvi P. Chopra		['run', 'pretend', 'marry', 'see', 'girlfriend']	['girlfriend']	['run', 'pretend', 'marry']	['see']	5.7830114	-11.112785	35.579716	10"
"Carol		['hear', 'pursue', 'corrupt', 'commit', 'triangulate', 'triangulate', 'reach', 'rescue', 'top', 'top']	['top', 'top']	['hear', 'pursue', 'corrupt', 'commit', 'triangulate', 'triangulate', 'reach']	['rescue']	24.41765	-2.7341442	-18.081501	53"
"Saul Silver	['dealer']	['argue', 'free', 'rescue', 'go', 'disarm', 'disarm', 'find', 'back', 'arrive', 'decide', 'visit', 'carry', 'flee', 'thank', 'evade', 'awaken', 'spend', 'carry', 'rescue', 'pursue', 'pursue', 'hold', 'end', 'tell', 'kill', 'leave', 'Express', 'grandmother', 'meeting', 'apartment', 'dealer']	['Express', 'grandmother', 'meeting', 'apartment']	['argue', 'free', 'rescue', 'go', 'disarm', 'disarm', 'find', 'back', 'arrive', 'decide', 'visit', 'carry', 'flee', 'thank', 'evade', 'awaken', 'spend']	['carry', 'rescue', 'pursue', 'pursue', 'hold', 'end', 'tell', 'kill', 'leave']	-2.2875373	8.27713	-37.668407	57"
"Ted Jones		['reveal', 'identify', 'endure', 'rescue', 'intervene', 'send', 'link', 'realize', 'rescue', 'lair', 'henchman', 'death', 'murder']	['lair', 'henchman', 'death', 'murder']	['reveal', 'identify', 'endure', 'rescue', 'intervene', 'send', 'link']	['realize', 'rescue']	24.616924	-1.3806425	-16.400896	53"
"Angie Anderson		['hide', 'visit', 'warn', 'house', 'house', 'house', 'father']	['house', 'house', 'house', 'father']	['hide']	['visit', 'warn']	-22.723026	12.779368	-10.463353	37"
"Erdmännchen Billy		['name', 'set', 'lead', 'find', 'named']	['named']	['name', 'set', 'lead']	['find']	35.399338	8.683014	-5.6428413	12"
"Ruth Myrick		['say', 'hand', 'lead', 'attempt', 'sway', 'shoot', 'lead', 'kill', 'murderer']	['murderer']	['say', 'hand', 'lead', 'attempt']	['sway', 'shoot', 'lead', 'kill']	24.15897	-0.5476793	12.399759	59"
"Dr. Guy Luthan	['doctor']	['doctor', 'attempt', 'admit', 'join', 'sway', 'follow', 'research', 'research', 'doctor']	['research', 'research']	['doctor', 'attempt', 'admit']	['join', 'sway', 'follow']	-40.376884	1.6018417	10.380604	26"
"Bijuriya		['meet', 'parent', 'know', 'pretend', 'rape', 'marry', 'save', 'sister']	['sister']	['meet', 'parent', 'know', 'pretend']	['rape', 'marry', 'save']	16.035782	-28.386753	9.384859	21"
"Hari	['pilot']	['try', 'die', 'pilot', 'receive', 'fly', 'survive', 'marry', 'resist', 'son', 'sister', 'father', 'dead', 'brother', 'pilot']	['son', 'sister', 'father', 'dead', 'brother']	['try', 'die', 'pilot', 'receive', 'fly', 'survive']	['marry', 'resist']	34.823555	-7.429207	16.24074	63"
"Littlefoot		['amaze', 'realize', 'accept', 'strike', 'bore', 'explore', 'describe', 'remind', 'rush', 'wish', 'finish', 'attempt', 'build', 'fall', 'blame', 'assume', 'find', 'distract', 'describe', 'see', 'ask', 'continue', 'try', 'hear', 'follow', 'meet', 'believe', 'receive', 'find', 'play', 'play', 'rescue', 'refuse', 'apologize', 'follow', 'bid', 'plunge', 'find', 'take', 'confront', 'intrigue', 'reach', 'find', 'accompany', 'push', 'reunite', 'allow', 'get', 'divide', 'interrupt', 'intrigue', 'argue', 'request', 'mission', 'glance', 'grandfather', 'story', 'unnerved', 'friend', 'friend', 'name', 'named', 'side', 'baby', 'bump', 'mother', 'grandfather', 'Grandfather']	['request', 'mission', 'glance', 'grandfather', 'story', 'unnerved', 'friend', 'friend', 'name', 'named', 'side', 'baby', 'bump', 'mother', 'grandfather', 'Grandfather']	['amaze', 'realize', 'accept', 'strike', 'bore', 'explore', 'describe', 'remind', 'rush', 'wish', 'finish', 'attempt', 'build', 'fall', 'blame', 'assume', 'find', 'distract', 'describe', 'see', 'ask', 'continue', 'try', 'hear', 'follow', 'meet', 'believe', 'receive', 'find', 'play', 'play', 'rescue', 'refuse', 'apologize', 'follow', 'bid', 'plunge']	['find', 'take', 'confront', 'intrigue', 'reach', 'find', 'accompany', 'push', 'reunite', 'allow', 'get', 'divide', 'interrupt', 'intrigue', 'argue']	-2.1715386	-0.409243	-5.099523	5"
"Hayley Stark		['cut', 'proceed', 'stammer', 'asphyxiate', 'observe', 'search', 'appear', 'expose', 'erase', 'slide', 'reveal', 'state', 'urge', 'look', 'make', 'return', 'explain', 'suggest', 'confront', 'tell', 'knock', 'knock', 'promise', 'follow', 'search', 'search']	['search', 'search']	['cut', 'proceed', 'stammer', 'asphyxiate', 'observe', 'search', 'appear', 'expose', 'erase', 'slide', 'reveal', 'state', 'urge', 'look', 'make', 'return', 'explain', 'suggest', 'confront', 'tell', 'knock', 'knock', 'promise']	['follow']	-27.372156	25.863426	-0.2020751	45"
"Kishan Pyare	['actor']	['meet', 'get', 'decide', 'save', 'work', 'feign', 'go', 'leave', 'return', 'make', 'marry', 'meet', 'actor', 'heartbroken', 'clothes', 'clothes', 'lover', 'actor']	['actor', 'heartbroken', 'clothes', 'clothes', 'lover']	['meet', 'get', 'decide', 'save', 'work', 'feign', 'go', 'leave', 'return']	['make', 'marry', 'meet']	-5.0943394	-39.50008	-12.119732	35"
"Shankar Shane		['return', 'become', 'mobilise', 'save', 'save', 'warn', 'drive', 'friend', 'brother']	['friend', 'brother']	['return', 'become', 'mobilise', 'save', 'save', 'warn']	['drive']	40.405815	-1.5239904	-6.7189116	65"
"Inspector Villiers	['Inspector']	['question', 'question', 'tell', 'arrogant', 'Inspector']	['arrogant']	['question', 'question']	['tell']	-6.898823	-17.657011	-14.077339	44"
"Enrique		['arrive', 'decide', 'search', 'leave', 'throw', 'buy', 'name', 'take', 'catch']		['arrive', 'decide', 'search', 'leave', 'throw']	['buy', 'name', 'take', 'catch']	26.31536	10.132146	-12.854388	24"
"Anjaneyulu	['reporter']	['story', 'work', 'marry', 'turn', 'want', 'kill', 'join', 'come', 'father', 'parent', 'reporter']	['father', 'parent']	['story', 'work', 'marry', 'turn', 'want', 'kill', 'join', 'come']		-30.565084	-14.4788885	-6.869456	2"
"Jim Wheeler		['side', 'kill', 'fight', 'offer', 'kill', 'determine', 'name', 'wounded', 'gun', 'deal']	['wounded', 'gun', 'deal']	['side', 'kill', 'fight', 'offer', 'kill']	['determine', 'name']	21.782806	9.521777	-11.58631	24"
"Samantha Howard	['teacher']	['begin', 'become', 'manage', 'pregnant', 'follow', 'diagnose', 'tell', 'drink', 'stalk', 'teacher', 'pregnant', 'desperate', 'teacher']	['teacher', 'pregnant', 'desperate']	['begin', 'become', 'manage', 'pregnant']	['follow', 'diagnose', 'tell', 'drink', 'stalk']	-5.1163235	-25.427938	17.740305	18"
"Vincent Cappadora - Age 7		['play', 'find', 'carry', 'play', 'forgive', 'child']	['child']	['play', 'find', 'carry']	['play', 'forgive']	-15.632091	29.592031	11.95243	62"
"Joe		['move', 'discover', 'amend', 'find', 'take', 'help', 'apartment', 'building']	['apartment', 'building']	['move', 'discover', 'amend', 'find']	['take', 'help']	-18.672705	14.526417	-12.089569	37"
"Alice		['sit', 'smile', 'see', 'tell', 'confess', 'spot', 'embrace', 'follow', 'continue', 'open', 'watch', 'see', 'begin', 'think', 'open', 'reach', 'frighten', 'tell', 'play', 'continue', 'follow', 'meet', 'flee', 'appreciate', 'shrink', 'visit', 'keep', 'use', 'tumble', 'hand', 'get', 'intrigue', 'refuse', 'intrigue', 'manage', 'find', 'help', 'go', 'catch', 'know', 'argue', 'shrink', 'travel', 'spot', 'sing', 'come', 'encounter', 'answer', 'wander', 'sing', 'walk', 'grow', 'follow', 'leave', 'run', 'meet', 'fall', 'escape', 'become', 'give', 'tell', 'manage', 'abandon', 'find', 'decide', 'grow', 'feel', 'spot', 'follow', 'meet', 'deliver', 'return', 'greet', 'return', 'remain', 'meet', 'escape', 'prepare', 'insist', 'learn', 'avoid', 'flee', 'threaten', 'encounter', 'recognize', 'argue', 'float', 'remove', 'tell', 'rescue', 'chase', 'argue', 'grow', 'frighten', 'find', 'scar', 'open', 'bring', 'perceive', 'warn', 'see', 'remove', 'sing', 'take', 'visit', 'lure', 'call', 'lose', 'annoy', 'force', 'eat', 'believe', 'put', 'keep', 'shrink', 'lead', 'invite', 'accuse', 'wake', 'instruct', 'seduce', 'remind', 'argue', 'find', 'foretell', 'find', 'set', 'day', 'giant', 'fear', 'Angry', 'afraid', 'care', 'reasoning', 'riverbank', 'face', 'scene', 'trio', 'riverbank', 'advice', 'tea', 'named', 'tea', 'daydreaming', 'monster', 'right', 'father', 'wandering', 'identity']	['day', 'giant', 'fear', 'Angry', 'afraid', 'care', 'reasoning', 'riverbank', 'face', 'scene', 'trio', 'riverbank', 'advice', 'tea', 'named', 'tea', 'daydreaming', 'monster', 'right', 'father', 'wandering', 'identity']	['sit', 'smile', 'see', 'tell', 'confess', 'spot', 'embrace', 'follow', 'continue', 'open', 'watch', 'see', 'begin', 'think', 'open', 'reach', 'frighten', 'tell', 'play', 'continue', 'follow', 'meet', 'flee', 'appreciate', 'shrink', 'visit', 'keep', 'use', 'tumble', 'hand', 'get', 'intrigue', 'refuse', 'intrigue', 'manage', 'find', 'help', 'go', 'catch', 'know', 'argue', 'shrink', 'travel', 'spot', 'sing', 'come', 'encounter', 'answer', 'wander', 'sing', 'walk', 'grow', 'follow', 'leave', 'run', 'meet', 'fall', 'escape', 'become', 'give', 'tell', 'manage', 'abandon', 'find', 'decide', 'grow', 'feel', 'spot', 'follow', 'meet', 'deliver', 'return', 'greet', 'return', 'remain', 'meet', 'escape', 'prepare', 'insist', 'learn', 'avoid', 'flee', 'threaten', 'encounter', 'recognize', 'argue']	['float', 'remove', 'tell', 'rescue', 'chase', 'argue', 'grow', 'frighten', 'find', 'scar', 'open', 'bring', 'perceive', 'warn', 'see', 'remove', 'sing', 'take', 'visit', 'lure', 'call', 'lose', 'annoy', 'force', 'eat', 'believe', 'put', 'keep', 'shrink', 'lead', 'invite', 'accuse', 'wake', 'instruct', 'seduce', 'remind', 'argue', 'find', 'foretell', 'find', 'set']	-3.245738	1.3142567	-2.27732	5"
"Tammy		['proceed', 'leave', 'shoot', 'take', 'order', 'shoot', 'containment', 'mournful', 'arrival']	['containment', 'mournful', 'arrival']	['proceed', 'leave', 'shoot']	['take', 'order', 'shoot']	-1.7064879	3.10006	34.083294	20"
"Flynn	['pilot']	['arrive', 'fly', 'pick', 'refuse', 'pick', 'pick', 'take', 'friend', 'reluctant', 'helicopter', 'pilot']	['friend', 'reluctant', 'helicopter']	['arrive', 'fly', 'pick', 'refuse', 'pick']	['pick', 'take']	35.22678	-7.453877	14.503208	63"
"Andy		['leave', 'take', 'shoot', 'attack', 'order', 'kill', 'eye']	['eye']	['leave']	['take', 'shoot', 'attack', 'order', 'kill']	-15.758201	-19.507008	12.5247	58"
"Karen	['journalist']	['hit', 'confess', 'realize', 'encounter', 'discover', 'put', 'manipulate', 'accept', 'tell', 'begin', 'manipulate', 'meet', 'work', 'ask', 'blackmail', 'tell', 'uncover', 'wine', 'interest', 'plying', 'furious', 'journalist']	['wine', 'interest', 'plying', 'furious']	['hit', 'confess', 'realize', 'encounter', 'discover', 'put', 'manipulate', 'accept', 'tell', 'begin']	['manipulate', 'meet', 'work', 'ask', 'blackmail', 'tell', 'uncover']	-28.824553	-22.673367	-4.015554	38"
"Maureen	['journalist', 'student']	['interest', 'interest', 'tell', 'tell', 'story', 'story', 'body', 'body', 'story', 'story', 'body', 'body', 'journalist', 'student']	['story', 'story', 'body', 'body', 'story', 'story', 'body', 'body']	['interest', 'interest']	['tell', 'tell']	-13.812132	-9.496903	23.907618	13"
"Kool	['artist']	['impress', 'arrive', 'decide', 'turn', 'reveal', 'get', 'give', 'change', 'make', 'run', 'get', 'destroy', 'vow', 'tell', 'win', 'brandish', 'kid', 'back', 'skip', 'narrate', 'want', 'know', 'jump', 'confront', 'prove', 'push', 'start', 'see', 'hurry', 'shoot', 'tell', 'use', 'take', 'break', 'think', 'tell', 'flashback', 'child', 'go', 'artist', 'artist']	['flashback', 'child', 'go', 'artist']	['impress', 'arrive', 'decide', 'turn', 'reveal', 'get', 'give', 'change', 'make', 'run', 'get', 'destroy', 'vow', 'tell', 'win', 'brandish', 'kid', 'back', 'skip', 'narrate', 'want', 'know', 'jump', 'confront']	['prove', 'push', 'start', 'see', 'hurry', 'shoot', 'tell', 'use', 'take', 'break', 'think', 'tell']	-9.168551	-34.32647	9.759316	0"
"Katherine Stern	['reporter']	['witness', 'develop', 'witness', 'help', 'reporter']		['witness', 'develop']	['witness', 'help']	-31.85146	-13.495393	-8.776203	2"
"Nathan McCain		['work', 'agree', 'hesitate', 'develop', 'help', 'team']	['team']	['work', 'agree', 'hesitate', 'develop']	['help']	-19.286493	2.305748	-29.442688	23"
"Isabella Molina		['attempt', 'look', 'say', 'tell', 'arrest', 'effort', 'named']	['effort', 'named']	['attempt', 'look', 'say', 'tell']	['arrest']	29.879868	2.1259415	7.930155	54"
"Leo F. Drummond	['attorney']	['prey', 'head', 'head', 'attorney', 'attorney']	['attorney']	['prey', 'head']	['head']	40.52432	3.1653152	3.2040281	34"
"Judge Tyrone Kipler	['judge', 'attorney']	['deny', 'deny', 'judge', 'attorney', 'judge', 'attorney', 'judge', 'attorney']	['judge', 'attorney', 'judge', 'attorney']	['deny', 'deny']		35.588795	0.69951886	2.3327537	34"
"Mary Class	['businesswoman']	['oblige', 'find', 'manage', 'bitter', 'call', 'stop', 'technique', 'businesswoman', 'daughter', 'businesswoman']	['technique', 'businesswoman', 'daughter']	['oblige', 'find', 'manage', 'bitter']	['call', 'stop']	-12.420186	28.736628	-22.69927	49"
"Edward Malone	['columnist']	['notice', 'confess', 'send', 'discover', 'make', 'discover', 'walk', 'urge', 'kill', 'save', 'scar', 'act', 'late', 'columnist']	['act', 'late']	['notice', 'confess', 'send', 'discover', 'make', 'discover', 'walk', 'urge', 'kill']	['save', 'scar']	-27.990736	-20.370914	-7.667806	38"
"Nick Driscoll	['mobster']	['get', 'demand', 'pull', 'keep', 'get', 'get', 'drunk', 'punch', 'mobster']	['drunk', 'punch']	['get', 'demand', 'pull', 'keep']	['get', 'get']	15.307551	32.1042	-4.6573386	33"
"Vetrivel		['take', 'throw', 'go', 'discover', 'come', 'encounter', 'suffer', 'conceal', 'threaten', 'know', 'harass', 'abuse', 'base', 'shoot', 'throw', 'think', 'prompt', 'follow', 'love', 'house', 'problem', 'driver']	['love', 'house', 'problem', 'driver']	['take', 'throw', 'go', 'discover', 'come', 'encounter', 'suffer', 'conceal', 'threaten']	['know', 'harass', 'abuse', 'base', 'shoot', 'throw', 'think', 'prompt', 'follow']	6.667305	18.076014	-18.163189	56"
"Chopra	['owner']	['sell', 'owner', 'debt', 'offer', 'debt', 'owner']	['owner', 'debt', 'offer', 'debt']	['sell']		-10.8897085	-2.6171613	-38.988808	17"
"Akshay Malhotra		['propose', 'kill', 'win', 'find', 'hand', 'love', 'attempt', 'brother', 'brother']	['attempt', 'brother', 'brother']	['propose', 'kill', 'win', 'find', 'hand']	['love']	2.5065792	-26.422861	-4.023663	7"
"Priya		['meet', 'disappointment', 'disappointment', 'sister', 'sister']	['disappointment', 'disappointment', 'sister', 'sister']		['meet']	26.805946	-26.027498	0.75355655	4"
"Uncle Nikolai	['mobster']	['talk', 'tell', 'sell', 'give', 'remind', 'talk', 'mobster', 'evidence', 'mobster']	['mobster', 'evidence']	['talk', 'tell', 'sell', 'give']	['remind', 'talk']	16.555006	34.32357	-4.2340965	33"
"Monty Brogan		['attack', 'reunite', 'start', 'escape', 'grow', 'see', 'refuse', 'refuse', 'go', 'go', 'begin', 'invite', 'intend', 'try', 'sell', 'talk', 'get', 'ask', 'turn', 'persuade', 'grab', 'leave', 'shoot', 'trust', 'provoke', 'talk', 'father', 'lash', 'money', 'life']	['father', 'lash', 'money', 'life']	['attack', 'reunite', 'start', 'escape', 'grow', 'see', 'refuse', 'refuse', 'go', 'go', 'begin', 'invite', 'intend', 'try', 'sell', 'talk', 'get']	['ask', 'turn', 'persuade', 'grab', 'leave', 'shoot', 'trust', 'provoke', 'talk']	2.6733491	3.110559	3.960791	5"
"Naturelle Riviera		['reunite', 'try', 'reunite', 'bait', 'comfort', 'tell', 'meet', 'club']	['club']	['reunite', 'try']	['reunite', 'bait', 'comfort', 'tell', 'meet']	20.463636	-19.166534	-12.096931	52"
"Mischa Lecter		['die', 'remain', 'make', 'stay', 'murder', 'kill', 'allow', 'remains', 'bracelet', 'sister']	['remains', 'bracelet', 'sister']	['die', 'remain', 'make']	['stay', 'murder', 'kill', 'allow']	-3.0020144	-7.9082575	16.15677	48"
"Hannibal Lecter	['Psychiatrist', 'psychiatrist']	['excavate', 'assume', 'knock', 'hunt', 'impale', 'remain', 'carve', 'incapacitate', 'get', 'threaten', 'torture', 'leave', 'lock', 'say', 'become', 'consist', 'find', 'recognize', 'unearth', 'proceed', 'lose', 'turn', 'consume', 'escape', 'take', 'inject', 'kill', 'live', 'go', 'move', 'return', 'sense', 'excavate', 'assume', 'knock', 'hunt', 'impale', 'remain', 'carve', 'incapacitate', 'get', 'threaten', 'torture', 'leave', 'lock', 'say', 'become', 'consist', 'find', 'recognize', 'unearth', 'proceed', 'lose', 'turn', 'consume', 'escape', 'take', 'inject', 'kill', 'live', 'go', 'move', 'return', 'sense', 'give', 'host', 'raise', 'drug', 'eat', 'tie', 'bait', 'treat', 'brandish', 'remove', 'withhold', 'rescue', 'take', 'send', 'wound', 'let', 'lure', 'wound', 'persuade', 'hang', 'leave', 'call', 'consider', 'give', 'refuse', 'return', 'tell', 'kill', 'agree', 'grow', 'begin', 'disappear', 'task', 'hang', 'escape', 'rebuff', 'force', 'kill', 'allow', 'stay', 'live', 'begin', 'kill', 'persuade', 'consist', 'kill', 'allow', 'stay', 'live', 'begin', 'kill', 'persuade', 'consist', 'visit', 'consult', 'implicate', 'sentence', 'overpower', 'free', 'capture', 'see', 'turn', 'drug', 'shoot', 'attack', 'withhold', 'transfer', 'fly', 'task', 'old', 'laboratory', 'murder', 'bomb', 'guilt', 'enraged', 'murder', 'dead', 'old', 'laboratory', 'murder', 'bomb', 'guilt', 'enraged', 'murder', 'dead', 'correspondence', 'capture', 'letter', 'aware', 'whereabouts', 'fingerprint', 'fingerprint', 'victim', 'case', 'connection', 'connection', 'insight', 'quarter', 'call', 'note', 'interviewing', 'annotation', 'cell', 'courthouse', 'courthouse', 'Psychiatrist', 'psychiatrist']	['old', 'laboratory', 'murder', 'bomb', 'guilt', 'enraged', 'murder', 'dead', 'old', 'laboratory', 'murder', 'bomb', 'guilt', 'enraged', 'murder', 'dead', 'correspondence', 'capture', 'letter', 'aware', 'whereabouts', 'fingerprint', 'fingerprint', 'victim', 'case', 'connection', 'connection', 'insight', 'quarter', 'call', 'note', 'interviewing', 'annotation', 'cell', 'courthouse', 'courthouse']	['excavate', 'assume', 'knock', 'hunt', 'impale', 'remain', 'carve', 'incapacitate', 'get', 'threaten', 'torture', 'leave', 'lock', 'say', 'become', 'consist', 'find', 'recognize', 'unearth', 'proceed', 'lose', 'turn', 'consume', 'escape', 'take', 'inject', 'kill', 'live', 'go', 'move', 'return', 'sense', 'excavate', 'assume', 'knock', 'hunt', 'impale', 'remain', 'carve', 'incapacitate', 'get', 'threaten', 'torture', 'leave', 'lock', 'say', 'become', 'consist', 'find', 'recognize', 'unearth', 'proceed', 'lose', 'turn', 'consume', 'escape', 'take', 'inject', 'kill', 'live', 'go', 'move', 'return', 'sense', 'give', 'host', 'raise', 'drug', 'eat', 'tie', 'bait', 'treat', 'brandish', 'remove', 'withhold', 'rescue', 'take', 'send', 'wound', 'let', 'lure', 'wound', 'persuade', 'hang', 'leave', 'call', 'consider', 'give', 'refuse', 'return', 'tell', 'kill', 'agree', 'grow', 'begin', 'disappear', 'task', 'hang', 'escape', 'rebuff', 'force']	['kill', 'allow', 'stay', 'live', 'begin', 'kill', 'persuade', 'consist', 'kill', 'allow', 'stay', 'live', 'begin', 'kill', 'persuade', 'consist', 'visit', 'consult', 'implicate', 'sentence', 'overpower', 'free', 'capture', 'see', 'turn', 'drug', 'shoot', 'attack', 'withhold', 'transfer', 'fly', 'task']	-34.81	-11.463986	6.503361	55"
"Inspector Popil	['Inspector', 'detective']	['try', 'enter', 'remark', 'try', 'enter', 'remark', 'dissuade', 'dissuade', 'murder', 'detective', 'murder', 'detective', 'Inspector', 'detective']	['murder', 'detective', 'murder', 'detective']	['try', 'enter', 'remark', 'try', 'enter', 'remark']	['dissuade', 'dissuade']	28.313366	-0.5295253	28.055695	6"
"Petras Kolnas		['enter', 'go', 'leave', 'child', 'tag', 'daughter', 'ortolan']	['child', 'tag', 'daughter', 'ortolan']	['enter', 'go']	['leave']	-10.423112	-21.71218	11.172016	58"
"Mary Lane		['take', 'stalk', 'insist', 'forget', 'appear', 'pursue', 'transform', 'shoot', 'harm', 'house', 'vision', 'innocent', 'innocent']	['house', 'vision', 'innocent', 'innocent']	['take', 'stalk', 'insist', 'forget', 'appear', 'pursue', 'transform']	['shoot', 'harm']	-4.4840717	2.9562902	31.141132	20"
"Amin		['inform', 'visit', 'postman', 'villager', 'villager']	['postman', 'villager', 'villager']	['inform', 'visit']		-26.171864	-14.335711	8.026265	46"
"Steel		['refer', 'survive', 'become', 'run', 'realize', 'kill', 'confront', 'avoid', 'make', 'apartment', 'able']	['apartment', 'able']	['refer', 'survive', 'become', 'run', 'realize']	['kill', 'confront', 'avoid', 'make']	-18.187834	15.7498455	-10.234738	37"
"Quiles	['owner']	['become', 'murder', 'owner', 'murder', 'killing', 'owner']	['murder', 'owner', 'murder', 'killing']	['become']		-8.584002	-7.2853475	-34.640892	17"
"Radames	['leader']	['carry', 'named', 'leader', 'murder', 'leader']	['named', 'leader', 'murder']		['carry']	-16.483835	16.24258	26.899286	9"
"Helen McNulty	['journalist']	['date', 'confront', 'photograph', 'inform', 'conversation', 'colleague', 'journalist', 'able', 'journalist']	['conversation', 'colleague', 'journalist', 'able']	['date', 'confront']	['photograph', 'inform']	-31.406134	-22.747116	-4.685522	38"
"Anna Lenke	['psychologist']	['escort', 'join', 'join', 'proprietor', 'survivor', 'patient', 'psychologist', 'psychologist']	['proprietor', 'survivor', 'patient', 'psychologist']	['escort', 'join']	['join']	-38.394604	-9.687385	5.091546	55"
"Lewis	['leader']	['refuse', 'demand', 'refuse', 'team', 'operative', 'leader']	['team', 'operative']	['refuse', 'demand', 'refuse']		-19.422909	13.012783	25.059227	9"
"John Rambo	['soldier']	['hijack', 'live', 'return', 'burn', 'accompany', 'kill', 'refuse', 'ignite', 'infiltrate', 'locate', 'convince', 'agree', 'threaten', 'respond', 'eliminate', 'fire', 'leave', 'use', 'walk', 'return', 'reply', 'escape', 'assemble', 'bury', 'kill', 'meet', 'call', 'take', 'learn', 'come', 'agree', 'persuade', 'live', 'disregard', 'make', 'try', 'contact', 'live', 'comfort', 'hold', 'sentence', 'order', 'convict', 'tell', 'recapture', 'brief', 'help', 'action', 'sniper', 'helicopter', 'angry', 'wound', 'wrist', 'soldier']	['help', 'action', 'sniper', 'helicopter', 'angry', 'wound', 'wrist']	['hijack', 'live', 'return', 'burn', 'accompany', 'kill', 'refuse', 'ignite', 'infiltrate', 'locate', 'convince', 'agree', 'threaten', 'respond', 'eliminate', 'fire', 'leave', 'use', 'walk', 'return', 'reply', 'escape', 'assemble', 'bury', 'kill', 'meet', 'call', 'take', 'learn', 'come', 'agree']	['persuade', 'live', 'disregard', 'make', 'try', 'contact', 'live', 'comfort', 'hold', 'sentence', 'order', 'convict', 'tell', 'recapture', 'brief']	5.8114905	15.614046	33.46327	29"
"Erika Kohut	['professor']	['take', 'respond', 'stab', 'destroy', 'meet', 'pretend', 'insist', 'pursue', 'kiss', 'relationship', 'life', 'sympathetic', 'professor']	['relationship', 'life', 'sympathetic']	['take', 'respond', 'stab', 'destroy', 'meet', 'pretend', 'insist']	['pursue', 'kiss']	-27.366798	-5.064802	22.328785	11"
"Walter Klemmer	['student']	['kiss', 'pursue', 'control', 'contact', 'mirroring', 'insistent', 'foyer', 'foyer', 'student']	['contact', 'mirroring', 'insistent', 'foyer', 'foyer']	['kiss', 'pursue']	['control']	-11.267219	-4.105356	30.351572	13"
"Anna Schober		['fill', 'meet', 'pocket', 'injured', 'mother', 'life']	['pocket', 'injured', 'mother', 'life']	['fill']	['meet']	29.453432	-21.304726	-2.3743346	4"
